# Sum3>family>cath40
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.028	0.116	0.188	0.420	reseek3_fast
0.028	0.116	0.211	0.441	reseek3_sensitive
0.060	0.144	0.278	0.613	foldseek

# Sum3>family>scop40
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.019	0.130	0.507	0.741	dali
0.022	0.149	0.613	0.882	foldseek
0.024	0.208	0.671	1.031	reseek28_fast
0.022	0.259	0.629	1.061	reseek3_fast
0.022	0.224	0.685	1.064	tm
0.024	0.208	0.711	1.071	reseek28_sensitive
0.022	0.259	0.660	1.091	reseek3_sensitive

# Sum3>family>scop40x
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.068	0.207	0.627	1.074	dali
0.094	0.260	0.725	1.303	foldseek
0.171	0.363	0.758	1.644	reseek28_fast
0.171	0.367	0.784	1.677	reseek28_sensitive
0.174	0.404	0.762	1.716	tm
0.222	0.474	0.662	1.818	reseek3_fast
0.222	0.474	0.685	1.839	reseek3_sensitive

# Sum3>fold>cath40
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.003	0.009	0.022	0.041	foldseek
0.004	0.012	0.015	0.042	reseek3_fast
0.004	0.014	0.021	0.051	reseek3_sensitive

# Sum3>fold>scop40
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.081	0.174	0.293	0.718	foldseek
0.117	0.168	0.245	0.731	reseek28_fast
0.123	0.183	0.274	0.795	reseek28_sensitive
0.075	0.223	0.364	0.850	dali
0.133	0.235	0.309	0.927	reseek3_fast
0.101	0.208	0.436	0.951	tm
0.141	0.256	0.381	1.047	reseek3_sensitive

# Sum3>fold>scop40x
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.151	0.199	0.278	0.878	reseek28_fast
0.156	0.208	0.293	0.916	reseek28_sensitive
0.150	0.226	0.363	1.003	foldseek
0.191	0.290	0.343	1.161	reseek3_fast
0.145	0.288	0.543	1.264	tm
0.204	0.328	0.424	1.323	reseek3_sensitive
0.199	0.303	0.478	1.330	dali

# Sum3>superfamily>cath40
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.060	0.144	0.278	0.613	foldseek
0.088	0.200	0.282	0.757	reseek3_fast
0.090	0.214	0.328	0.828	reseek3_sensitive

# Sum3>superfamily>scop40
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.075	0.171	0.432	0.837	dali
0.105	0.227	0.413	0.963	foldseek
0.115	0.237	0.418	1.004	tm
0.211	0.320	0.422	1.325	reseek28_fast
0.219	0.354	0.421	1.390	reseek3_fast
0.217	0.341	0.474	1.420	reseek28_sensitive
0.223	0.375	0.475	1.484	reseek3_sensitive

# Sum3>superfamily>scop40x
SEPQ0.1	SEPQ1	SEPQ10	Sum3	algo
0.102	0.193	0.493	0.987	dali
0.122	0.265	0.452	1.092	tm
0.132	0.269	0.469	1.136	foldseek
0.247	0.364	0.463	1.504	reseek28_fast
0.252	0.381	0.501	1.577	reseek28_sensitive
