bin	lo	hi	tp	fp	loglin
0	391.859	404.999	0	2	-
1	404.999	418.139	0	1	-
2	418.139	431.28	0	7	-
3	431.28	444.42	0	18	-
4	444.42	457.56	0	20	-
5	457.56	470.701	0	40	-
6	470.701	483.841	0	49	-
7	483.841	496.982	0	70	-
8	496.982	510.122	0	109	-
9	510.122	523.262	0	128	-
10	523.262	536.403	0	170	-
11	536.403	549.543	0	200	-
12	549.543	562.683	0	227	-
13	562.683	575.824	0	251	-
14	575.824	588.964	0	300	-
15	588.964	602.105	0	332	-
16	602.105	615.245	0	359	-
17	615.245	628.385	0	377	-
18	628.385	641.526	0	357	-
19	641.526	654.666	0	392	-
20	654.666	667.807	0	384	-
21	667.807	680.947	0	418	-
22	680.947	694.087	0	361	-
23	694.087	707.228	0	352	-
24	707.228	720.368	0	331	-
25	720.368	733.508	0	325	-
26	733.508	746.649	0	334	-
27	746.649	759.789	0	368	-
28	759.789	772.929	0	311	-
29	772.929	786.07	0	298	-
30	786.07	799.21	0	289	-
31	799.21	812.351	0	265	-
32	812.351	825.491	0	306	-
33	825.491	838.631	0	301	-
34	838.631	851.772	0	283	-
35	851.772	864.912	0	261	-
36	864.912	878.052	0	210	-
37	878.052	891.193	0	231	-
38	891.193	904.333	0	148	-
39	904.333	917.474	0	138	-
40	917.474	930.614	0	129	88.29
41	930.614	943.754	0	93	76.99
42	943.754	956.895	0	64	67.13
43	956.895	970.035	0	58	58.53
44	970.035	983.175	0	44	51.04
45	983.175	996.316	0	40	44.5
46	996.316	1009.46	0	36	38.8
47	1009.46	1022.6	0	30	33.83
48	1022.6	1035.74	0	28	29.5
49	1035.74	1048.88	0	16	25.72
50	1048.88	1062.02	0	22	22.43
51	1062.02	1075.16	0	19	19.56
52	1075.16	1088.3	0	19	17.05
53	1088.3	1101.44	0	12	14.87
54	1101.44	1114.58	0	24	12.97
55	1114.58	1127.72	0	8	11.31
56	1127.72	1140.86	0	14	9.858
57	1140.86	1154	0	9	8.595
58	1154	1167.14	0	2	7.495
59	1167.14	1180.28	0	3	6.535
60	1180.28	1193.42	0	3	5.698
61	1193.42	1206.56	0	1	4.968
62	1206.56	1219.7	0	1	4.332
63	1219.7	1232.84	0	1	3.777
64	1232.84	1245.98	0	1	3.294
65	1245.98	1259.12	0	0	2.872
66	1259.12	1272.26	0	0	2.504
67	1272.26	1285.4	0	0	2.184
68	1285.4	1298.54	0	0	1.904
69	1298.54	1311.68	0	0	1.66
70	1311.68	1324.83	0	0	1.448
71	1324.83	1337.97	0	0	1.262
72	1337.97	1351.11	0	0	1.101
73	1351.11	1364.25	0	0	0.9596
74	1364.25	1377.39	0	0	0.8368
75	1377.39	1390.53	0	0	0.7296
76	1390.53	1403.67	0	0	0.6362
77	1403.67	1416.81	0	0	0.5547
78	1416.81	1429.95	1	0	0.4837
79	1429.95	1443.09	1	0	0.4217
80	1443.09	1456.23	0	0	0.3677
81	1456.23	1469.37	3	0	0.3206
82	1469.37	1482.51	18	0	0.2796
83	1482.51	1495.65	42	0	0.2438
84	1495.65	1508.79	129	0	0.2126
85	1508.79	1521.93	283	0	0.1853
86	1521.93	1535.07	535	0	0.1616
87	1535.07	1548.21	843	0	0.1409
88	1548.21	1561.35	1267	0	0.1229
89	1561.35	1574.49	1598	0	0.1071
90	1574.49	1587.63	1553	0	0.09342
91	1587.63	1600.77	1352	0	0.08146
92	1600.77	1613.91	1098	0	0.07103
93	1613.91	1627.05	669	0	0.06193
94	1627.05	1640.19	365	0	0.054
95	1640.19	1653.33	171	0	0.04709
96	1653.33	1666.48	44	0	0.04106
97	1666.48	1679.62	20	0	0.0358
98	1679.62	1692.76	3	0	0.03121
99	1692.76	1705.9	5	0	0.02722
