query	sf	env_lo	env_hi	aln_lo	aln_hi	pvalue	target
4KLQ-Polbe	a.60.6	1	80	1	80	4.986e-10	d2fmpa1/a.60.6.1
4KLQ-Polbe	a.60.12	81	137	81	136	3.294e-07	d2fmpa2/a.60.12.1
4KLQ-Polbe	d.218.1	138	324	138	324	5.677e-23	d2fmpa3/d.218.1.2
4LT6-PAPga	d.218.1	1	197	1	194	1.115e-13	d2q66a2/d.218.1.3
4LT6-PAPga	a.160.1	198	347	198	346	8.751e-12	d2q66a1/a.160.1.1
4LT6-PAPga	d.58.16	348	463	349	463	1.282e-10	d1q79a3/d.58.16.1
4RWO-OAS1	d.218.1	1	200	1	196	5.77e-14	d1px5a2/d.218.1.6
4RWO-OAS1	a.160.1	201	346	201	346	8.172e-17	d1px5a1/a.160.1.2
4X4T-CCAa	d.218.1	1	142	1	142	5.05e-15	d1r89a2/d.218.1.7
4X4T-CCAa	a.160.1	143	257	143	257	4.914e-13	d1r89a1/a.160.1.3
4X4T-CCAa	d.58.16	258	437	258	437	3.465e-22	d1r89a3/d.58.16.2
4YD1-Polmu	a.60.6	1	93	1	91	4.072e-08	d1jmsa1/a.60.6.1
4YD1-Polmu	d.218.1	153	333	153	333	5.03e-15	d1jmsa4/d.218.1.2
