query	sf	env_lo	env_hi	aln_lo	aln_hi	pvalue	target
1hhs_A-rdrp_A	3.30.70_1600	108	347	116	347	8.401e-19	1hi8A03/3.30.70_1600._
1khv_A-rdrp_A	3.30.70_270	124	307	124	306	2.181e-14	1khvA03/3.30.70_270._
1khv_A-rdrp_A	1.20.960_20	308	404	308	404	5.109e-12	1khvA05/1.20.960_20._
1n1h_A-rdrp_A	3.90.1850_10	1	457	1	457	1.244e-53	1mukA02/3.90.1850_10._
1ra6_A-rdrp_A	3.30.70_270	134	286	138	286	3.576e-11	1ra6A02/3.30.70_270._
1ra6_A-rdrp_A	1.20.960_20	294	380	295	380	1.286e-11	1ra6A03/1.20.960_20._
2ckw_A-rdrp_A	3.30.70_270	128	292	128	292	1.725e-12	2ckwA03/3.30.70_270._
2ckw_A-rdrp_A	1.20.960_20	293	399	295	399	9.506e-14	2ckwA04/1.20.960_20._
2r7o_A-rdrp_A	1.10.357_80	1	229	1	229	2.806e-15	2r7rA05/1.10.357_80._
2xhw_A-rdrp_A	3.30.70_270	122	300	122	300	7.925e-12	1gx5A03/3.30.70_270._
3jb7_A-rdrp_A	3.90.1850_10	1	437	2	398	1.244e-11	1mukA02/3.90.1850_10._
4nru_A-rdrp_A	3.30.70_270	128	299	128	299	2.108e-09	3h5xA03/3.30.70_270._
4nru_A-rdrp_A	1.20.960_20	300	391	302	391	3.394e-08	3h5xA04/1.20.960_20._
4nz0_A-rdrp_A	3.30.70_270	122	314	122	314	5.249e-11	5jxsA02/3.30.70_270._
5jxs_A-rdrp_A	3.30.70_270	122	317	122	317	6.986e-17	5jxsA02/3.30.70_270._
5jxs_A-rdrp_A	1.20.960_20	318	390	318	390	5.484e-09	3nkyA03/1.20.960_20._
6kld_A-rdrp_A	3.90.1850_10	1	360	29	357	6.418e-07	1mukA02/3.90.1850_10._
6nur_A-rdrp_A	3.90.1850_10	1	445	6	427	2.076e-07	1mukA02/3.90.1850_10._
6po2_A-rdrp_A	3.90.1850_10	1	477	8	473	5.331e-09	1mukA02/3.90.1850_10._
6qwt_A-rdrp_A	3.30.70_270	123	320	123	320	5.312e-17	6qwtA02/3.30.70_270._
7ekj_A-rdrp_A	3.30.70_270	123	306	123	305	8.087e-11	1s48A04/3.30.70_270._
