query	sf	env_lo	env_hi	aln_lo	aln_hi	pvalue	target
1hhs_A-rdrp_A	e.8.1	1	437	1	437	2.7e-48	d1uvja_/e.8.1.6
1khv_A-rdrp_A	e.8.1	1	405	1	405	3.138e-48	d1khva_/e.8.1.4
1n1h_A-rdrp_A	e.8.1	1	457	1	457	2.626e-48	d1muka_/e.8.1.4
1ra6_A-rdrp_A	e.8.1	1	380	1	380	9.606e-37	d3cdua_/e.8.1.4
2ckw_A-rdrp_A	e.8.1	1	396	2	391	1.432e-23	d1khva_/e.8.1.4
2r7o_A-rdrp_A	e.8.1	1	398	1	391	1.493e-07	d3bsoa_/e.8.1.4
2xhw_A-rdrp_A	e.8.1	1	406	1	406	1.827e-41	d3hkwa_/e.8.1.4
3jb7_A-rdrp_A	e.8.1	1	441	2	401	4.933e-09	d1muka_/e.8.1.4
3mmp_G-rdrp_G	e.8.1	1	355	6	334	3.291e-08	d3bsoa_/e.8.1.4
3vws_A-rdrp_A	e.8.1	1	438	3	411	2.567e-12	d1s48a_/e.8.1.4
4gzk_A-rdrp_A	e.8.1	1	428	5	425	1.279e-14	d1uvja_/e.8.1.6
4nru_A-rdrp_A	e.8.1	1	391	1	391	1.242e-34	d3bsoa_/e.8.1.4
4nz0_A-rdrp_A	e.8.1	1	379	1	379	6.027e-28	d1u09a_/e.8.1.4
5i61_B-rdrp_B	e.8.1	1	403	3	403	1.609e-11	d1khva_/e.8.1.4
5jxs_A-rdrp_A	e.8.1	1	390	1	390	1.29e-43	d1u09a_/e.8.1.4
6nur_A-rdrp_A	e.8.1	1	445	4	445	1.094e-11	d1u09a_/e.8.1.4
6qwt_A-rdrp_A	e.8.1	1	392	7	390	1.584e-21	d3cdua_/e.8.1.4
7ekj_A-rdrp_A	e.8.1	1	408	1	408	3.699e-37	d1s48a_/e.8.1.4
