query	sf	env_lo	env_hi	aln_lo	aln_hi	pvalue	target
4KLQ-Polbe	1.10.150_110	1	69	1	69	7.23e-07	6h5hA00/1.10.150_110._
4KLQ-Polbe	1.10.150_20	80	137	80	132	9.453e-07	1bpbA01/1.10.150_20._
4KLQ-Polbe	3.30.460_10	138	260	138	260	9.175e-15	3oguA03/3.30.460_10._
4KLQ-Polbe	3.30.210_10	265	323	267	323	1.568e-07	1bpeA04/3.30.210_10._
4LEY-cGAS	1.10.1410_40	156	357	170	356	1.797e-15	4jlxA01/1.10.1410_40._
4LT6-PAPga	3.30.460_10	36	191	36	191	2.731e-16	1f5aA02/3.30.460_10._
4LT6-PAPga	3.30.70_590	349	453	349	453	1.01e-08	1f5aA01/3.30.70_590._
4RWO-OAS1	3.30.460_10	1	160	1	158	5.654e-10	1px5A01/3.30.460_10._
4RWO-OAS1	1.10.1410_20	161	346	161	346	2.424e-21	1px5A02/1.10.1410_20._
4X4T-CCAa	3.30.460_10	16	143	16	143	4.432e-14	1r89A02/3.30.460_10._
4X4T-CCAa	3.30.70_590	260	437	260	437	3.477e-15	1r89A03/3.30.70_590._
4YD1-Polmu	1.10.150_110	1	93	1	93	1.672e-11	4lzgA01/1.10.150_110._
4YD1-Polmu	3.30.460_10	152	264	152	263	5.346e-10	2ihmB03/3.30.460_10._
4YD1-Polmu	3.30.210_10	265	332	265	332	4.255e-08	2ihmA04/3.30.210_10._
6CTA-cGAS	1.10.1410_40	145	343	159	343	3.927e-16	4jlxA01/1.10.1410_40._
6E0K-CdnE	3.30.460_10	18	170	19	168	6.407e-10	7x4pA01/3.30.460_10._
6E0M-CdnE	3.30.460_10	18	154	23	153	2.107e-08	7x4qA01/3.30.460_10._
